division,order_number,customer_name,proj_num,order_create_date,eck_date,BD_Act_Compl_Date,budget_hours,acutal_hours,Complexity,eck_lead_wks,eck_range_high,eck_range_low,include,days_to_book,eck_month,book_month,fiscal_year,above_limit
VP,1802942101,FRED J PIETTE COMPANY INC.,18029421,2018-04-25,2018-08-07,2018-06-28,86.19,42,Simple (<=100),14.86,14.15,0.7,No,-40,2018-08-01,2018-06-01,2019,0.709999999999999
BUTLER,1801967301,"METAL BUILDING RESTORATION, INC.",18019673,2018-01-15,2018-05-25,NA,234,9,Complex (200-400),18.57,17.85,1.8,No,NA,2018-05-01,NA,2018,0.719999999999999
BUTLER,1901451801,"LCI CONSTRUCTION, INC.",19014518,2019-07-08,2019-11-20,2019-11-20,263,455.03,Complex (200-400),19.29,18.57,2.02,No,0,2019-11-01,2019-11-01,2020,0.719999999999999
VP,1901579001,"A. B. SYSTEMS, INC.",19015790,2019-07-23,2019-11-13,2019-11-15,136.72,453.25,Moderate (100-200),16.14,15.42,1.08,No,2,2019-11-01,2019-11-01,2020,0.720000000000001
VP,1901785801,"SUPERSTRUCTURES, INC.",19017858,2019-08-21,2019-12-21,NA,188.19,115.75,Moderate (100-200),17.43,16.7,1.46,No,NA,2019-12-01,NA,2020,0.73
BUTLER,1802645301,"CAMPBELL CONSTRUCTION, INC.",18026453,2018-03-26,2018-08-02,2018-08-02,228,185,Complex (200-400),18.43,17.7,1.76,No,0,2018-08-01,2018-08-01,2019,0.73
VP,1803020201,DUBLIN BUILDING SYSTEMS,18030202,2018-06-25,2018-10-25,2018-10-26,188,154.25,Moderate (100-200),17.43,16.7,1.46,No,1,2018-10-01,2018-10-01,2019,0.73
BUTLER,1901554201,SCHUH CONSTRUCTION INC.,19015542,2019-07-17,2019-11-13,2019-11-12,171,123,Moderate (100-200),17,16.27,1.33,No,-1,2019-11-01,2019-11-01,2020,0.73
VP,1803193101,"IMHOFF CONSTRUCTION SERVICES, INC.",18031931,2018-06-25,2018-10-31,2018-11-02,222,157.8,Complex (200-400),18.29,17.55,1.72,No,2,2018-10-01,2018-11-01,2019,0.739999999999998
BUTLER,1901773301,"UNLIMITED CONSTRUCTION SERVICES, INC.",19017733,2019-08-21,2019-11-22,2019-11-22,22,43,Simple (<=100),13.29,12.55,0.21,No,0,2019-11-01,2019-11-01,2020,0.739999999999998
BUTLER,1902024901,"JACKSON BUILDERS, INC.",19020249,2019-09-19,2020-01-24,NA,216,76.75,Complex (200-400),18.14,17.4,1.67,No,NA,2020-01-01,NA,2020,0.740000000000002
BUTLER,1902057001,"LUNDY CONSTRUCTION CO., INC.",19020570,2019-09-24,2020-01-28,NA,210,19.5,Complex (200-400),18,17.25,1.62,No,NA,2020-01-01,NA,2020,0.75
BUTLER,1803004601,APEX CONTRACTING (SUDBURY) LTD.,18030046,2018-05-02,2018-08-29,2018-08-29,170,179.5,Moderate (100-200),17,16.25,1.32,No,0,2018-08-01,2018-08-01,2019,0.75
BUTLER,1901784201,COAST DEVELOPMENT CO LLC,19017842,2019-08-23,2020-01-15,NA,318,141.25,Complex (200-400),20.71,19.95,2.43,No,NA,2020-01-01,NA,2020,0.760000000000002
BUTLER,1803032501,A. V. LAKE CONSTRUCTION COMPANY,18030325,2018-05-04,2018-08-15,2018-08-16,77,70.75,Simple (<=100),14.71,13.93,0.63,No,1,2018-08-01,2018-08-01,2019,0.780000000000001
BUTLER,1702533901,"SUPREME CONSTRUCTION, INC.",17025339,2017-10-20,2018-01-24,2018-01-25,37,37.75,Simple (<=100),13.71,12.93,0.33,No,1,2018-01-01,2018-01-01,2018,0.780000000000001
VP,1802969601,"CURTISS-MANES-SCHULTE, INC.",18029696,2018-04-30,2018-08-21,2018-08-24,134.59,127.45,Moderate (100-200),16.14,15.36,1.06,No,3,2018-08-01,2018-08-01,2019,0.780000000000001
BUTLER,1804380301,"SEPTAGON CONST. CO., INC. - SEDALIA",18043803,2018-10-29,2019-03-14,2019-03-15,266,353.25,Complex (200-400),19.43,18.65,2.04,No,1,2019-03-01,2019-03-01,2019,0.780000000000001
VP,1701665401,LEFEVER BUILDING SYSTEMS,17016654,2017-07-10,2017-12-05,2017-12-05,334.13,187,Complex (200-400),21.14,20.35,2.56,No,0,2017-12-01,2017-12-01,2018,0.789999999999999
BUTLER,1803450801,"JOSEPH CONSTRUCTION COMPANY, INC.",18034508,2018-06-27,2018-11-09,2018-11-09,260,406.25,Complex (200-400),19.29,18.5,2,No,0,2018-11-01,2018-11-01,2019,0.789999999999999
BUTLER,1803574501,ABCOTT CONSTRUCTION LTD.,18035745,2018-07-17,2018-10-24,2018-10-24,54,76.1,Simple (<=100),14.14,13.35,0.45,No,0,2018-10-01,2018-10-01,2019,0.790000000000001
VP,1804021301,CBC CONSTRUCTION INC,18040213,2018-10-03,2019-01-14,2019-01-15,76.46,93,Simple (<=100),14.71,13.91,0.62,No,1,2019-01-01,2019-01-01,2019,0.800000000000001
BUTLER,1901432301,"STEEL SOLUTIONS, INC.",19014323,2019-07-01,2019-10-30,NA,179,319.75,Moderate (100-200),17.29,16.48,1.39,No,NA,2019-10-01,NA,2020,0.809999999999999
BUTLER,1700948801,OREILLY AUTOMOTIVE,17009488,2017-04-07,2017-07-31,2017-07-31,145,145,Moderate (100-200),16.43,15.62,1.14,No,0,2017-07-01,2017-07-01,2018,0.81
BUTLER,1700688601,JOHN M CALL,17006886,2017-03-10,2017-06-26,2017-06-27,105,157.1,Moderate (100-200),15.43,14.62,0.84,No,1,2017-06-01,2017-06-01,2017,0.81
VP,1702876701,"LOVE'S TRAVEL STOPS & COUNTRY STORES, INC.",17028767,2017-12-06,2018-05-03,2018-05-03,333.24,305.05,Complex (200-400),21.14,20.33,2.55,No,0,2018-05-01,2018-05-01,2018,0.810000000000002
VP,1802283801,"PRE-FAB BUILDERS, INC.",18022838,2018-02-22,2018-06-01,2018-06-25,52.62,43.25,Simple (<=100),14.14,13.32,0.44,No,24,2018-06-01,2018-06-01,2018,0.82
BUTLER,1803940801,"JACKSON BUILDERS, INC.",18039408,2018-08-31,2019-01-10,2018-12-28,241,325.03,Complex (200-400),18.86,18.02,1.86,No,-13,2019-01-01,2018-12-01,2019,0.84
BUTLER,1700922101,OREILLY AUTOMOTIVE,17009221,2017-04-07,2017-07-27,2017-10-31,120,114.75,Moderate (100-200),15.86,15,0.95,No,96,2017-07-01,2017-10-01,2018,0.859999999999999
BUTLER,1803428001,OREILLY AUTOMOTIVE,18034280,2018-06-29,2018-10-18,2019-03-13,120,111,Moderate (100-200),15.86,15,0.95,No,146,2018-10-01,2019-03-01,2019,0.859999999999999
BUTLER,1803484201,OREILLY AUTOMOTIVE,18034842,2018-07-03,2018-10-22,2019-08-29,120,133,Moderate (100-200),15.86,15,0.95,No,311,2018-10-01,2019-08-01,2019,0.859999999999999
BUTLER,1804502601,OREILLY AUTOMOTIVE,18045026,2018-11-13,2019-03-04,2019-03-15,120,105,Moderate (100-200),15.86,15,0.95,No,11,2019-03-01,2019-03-01,2019,0.859999999999999
BUTLER,1804587701,OREILLY AUTOMOTIVE,18045877,2018-11-27,2019-03-18,2019-10-23,120,125,Moderate (100-200),15.86,15,0.95,No,219,2019-03-01,2019-10-01,2019,0.859999999999999
VP,1901358101,VP - EASTERN CASH/DIRECT SALES,19013581,2019-06-28,2019-10-10,2019-10-11,80.03,112,CII/FT,14.86,14,0.65,No,1,2019-10-01,2019-10-01,2020,0.859999999999999
BUTLER,1901772901,"T. VIOLE' CONSTRUCTION COMPANY, INC",19017729,2019-08-20,2019-12-30,NA,240,117.75,Complex (200-400),18.86,18,1.85,No,NA,2019-12-01,NA,2020,0.859999999999999
